Selected_s,Broadleaved
3,0.0248619834673005
2,0.129191219448997
7,0.0120886592397803
13,0.00728351663219946
17,0.00691965868809262
16,0.00451271196744966
6,0.0886240584683138
9,0.000495009619571882
4,0.0087065587280026
36,0.0101360302158853
1,0.000821484364761054
12,0.000196366044128972
11,0.0142546223036866
24,0.0838279008057728
19,0.00893131168923702
20,0.0751078279112423
25,0.133840610246299
27,0.0183092790665537
28,0.0196722697657166
30,0.00729129019423044
29,0.00521511389843138
33,0.00117286948712944
21,4.3821101436601e-06
31,0.000313291928414072
15,0
5,0.000213854507946812
23,0.0610598205581416
32,1.94372349599748e-10
34,0.0216878780568737
26,0.0608934441329598
18,0.024417892478342
8,0.0201944757420479
10,1.7066687042748e-10
35,2.13356428159068e-10
14,0.0178357484985858
22,0.00182353593703362
46,0.600552503123105
45,0.894262247691054
51,0.188497357048968
52,0.148256710835758
50,0.442310246761837
49,0.584759009781989
48,0.350272144369675
47,0.609124784147311
53,0.376077950632522
44,0.793257280117696
39,0.662873523901328
40,0.795545585347802
41,0.827243238243673
38,0.615917697233111
43,0.576900001528742
42,0.676138891522805
37,0.500598968911742
